i,address,lat,long
1,"Mang Den,Vietnam",14.6014606,108.2916225
2,"Sessa Orchid Sanctuary, Arunachal Pradesh,India",27.10465,92.52548
3,"Mar de Cobo, Mar Chiquita, Buenos Aires,Argentina",-37.7727255,-57.4508112
9,"Vuelta de Obligado, Buenos Aires,Argentina",-34.4213033,-58.7367403932707
12,"Villa General Belgrano, Cordoba,Argentina",-31.9764896,-64.5590227
13,"La Cumbre, El Pungo, Cordoba,Argentina",-30.9837265,-64.4922179
14,"Capilla del Monte, Cordoba,Argentina",-30.8572075,-64.5263199
17,"Arunachal Pradesh,India",28.0937702,94.5921326
18,"N/A,India",9.46796895,77.5652532906592
20,"Laguna Blanca, San Pedro,Paraguay",-23.80822,-56.2802026324591
23,"Reserva El Bagual, Formosa,Argentina",-26.31050375,-58.8004929371501
24,"Lascano, Rocha,Uruguay",-33.6738454,-54.2078542
27,"Punta Tombo, Chubut,Argentina",-44.044825,-65.236097
30,"To Daeng,Thailand",13.6668472,100.539250974151
32,"Saladillo, Buenos Aires,Argentina",-35.6388615,-59.7791787
33,"General Villegas, Buenos Aires,Argentina",-35.032594,-63.0148473
34,"General Lavalle, Buenos Aires,Argentina",-36.4063403,-56.943226
37,"Komandorski Islands,Russian Federation",55.02157535,166.271242620209
38,"San Rafael, Itapua,Paraguay",-26.5942835,-54.9963893
44,"PN Nahuelbuta, Malleco, IX Region,Chile",-37.8055999,-72.7120946
50,"Peruacu, Minas Gerais,Brazil",-15.0894335,-44.2286981896148
51,"Riacho dos Machados - MG,Brazil",-16.006667,-43.049166
58,"Ana Zumaran, Cordoba,Argentina",-32.3913744,-63.0575084
59,"Gualeguaychu, Entre Rios,Argentina",-33.0078585,-58.5103466
61,"Amaicha del Valle, Tucuman,Argentina",-26.5936313,-65.9201974
65,"Tapalque, Buenos Aires,Argentina",-36.3563106,-60.0251321
66,"Los Molles, V Region,Chile",-32.2395654,-71.5136665
73,"Panato - Awala - French Guiana,French Guiana",5.7318004,-53.9240985
77,"Saül - French Guiana,French Guiana",3.6230199,-53.2091172
87,"Plan de Barrancas, Jalisco,Mexico",21.0430736,-104.2102069
89,"N/A,Peru",-12.0422996,-77.0847515
90,"Celestun, Yucatan,Mexico",20.92215845,-90.298619118145
96,"N/A,N/A",51.56687415,4.92850387614619
97,"Pinamar, Buenos Aires,Argentina",-37.1099492,-56.8539007
98,"Kyoto Prefecture,Japan",35.242552,135.454601
99,"Petropavlovsk,Russian Federation",56.3395287,57.118898
100,"El Yeso, Region Metropolitana,Chile",-33.5573852,-70.5726566
107,"Whiteface Mountain,NY,USA",44.3657845,-73.9029843
110,"Nevado de Colima, Jalisco,Mexico",19.5633402,-103.6082917
114,"Tiger Hill, Darjeeling  ,India",26.99490135,88.2853305637838
117,"Mount Kenya,Kenya",-0.152707,37.3092138
121,"Chhep,Cambodia",13.7678257,105.406483240177
122,"Munnar,India",10.0869959,77.0600915
123,"N/A,Indonesia",-6.9763693,109.10166602639
125,"Cerro Jefe Panamá,Panama",9.22988,-79.383261
128,"Ceibas, Entre Rios,Argentina",-33.4991229,-58.7977765
138,"Mount Kinabalu Sabah,Malaysia",6.0750667,116.5587
140,",Malaysia",4.5693754,102.2656823
141,"Mwinilunga,Zambia",-11.7314645,24.4260264
144,"Union Juarez, Chiapas,Mexico",15.07068745,-92.091337089417
145,"Lo Qui Ho,Vietnam",10.6343842,106.6405374
146,"Arroyo Alegria, San Pedro, Misiones,Argentina",-26.4768111,-54.0274318
148,"Paranaguá-PR,Brazil",-25.5148822,-48.5226695
151,"Salar de Atacama, II Region,Chile",-23.38865385,-68.2582285050871
152,"Montagne des singes - Kourou,French Guiana",5.0739593,-52.6993944
156,"Cebu,Philippines",10.2931062,123.9020773
157,"Consolacion, Cebu,Philippines",10.3760149,123.9568892
