scinam,syid
tinamus tao,1
tinamus solitarius,2
tinamus osgoodi,3
tinamus major,4
tinamus guttatus,5
nothocercus bonapartei,6
nothocercus julius,7
nothocercus nigrocapillus,8
crypturellus berlepschi,9
crypturellus cinereus,10
crypturellus soui,11
crypturellus ptaritepui,12
crypturellus obsoletus,13
crypturellus undulatus,14
crypturellus transfasciatus,15
crypturellus strigulosus,16
crypturellus duidae,17
crypturellus erythropus,18
crypturellus noctivagus,19
crypturellus atrocapillus,20
crypturellus cinnamomeus,21
crypturellus boucardi,22
crypturellus kerriae,23
crypturellus variegatus,24
crypturellus brevirostris,25
crypturellus bartletti,26
crypturellus parvirostris,27
crypturellus casiquiare,28
crypturellus tataupa,29
rhynchotus rufescens,30
rhynchotus maculicollis,31
nothoprocta taczanowskii,32
nothoprocta ornata,33
nothoprocta kalinowskii,34
nothoprocta perdicaria,35
nothoprocta cinerascens,36
nothoprocta pentlandii,37
nothoprocta curvirostris,38
nothura boraquira,39
nothura minor,40
nothura darwinii,41
nothura maculosa,42
nothura chacoensis,43
taoniscus nanus,44
eudromia elegans,45
eudromia formosa,46
tinamotis pentlandii,47
tinamotis ingoufi,48
struthio camelus,49
struthio molybdophanes,50
rhea americana,51
pterocnemia pennata,52
aburria cumanensis,304
rhea pennata,52
casuarius casuarius,53
casuarius bennetti,54
casuarius unappendiculatus,55
megalapteryx didinus,56
dinornis torosus,57
euryapteryx gravis,58
aepyornis maximus,59
dromaius novaehollandiae,60
dromaius ater,61
dromaius minor,61
dromaius baudinianus,62
dromaius diemenianus,62
apteryx australis,63
apteryx mantelli,64
apteryx rowi,65
apteryx owenii,66
apteryx haastii,67
anhima cornuta,68
chauna chavaria,69
chauna torquata,70
anseranas semipalmata,71
dendrocygna viduata,72
dendrocygna autumnalis,73
dendrocygna guttata,74
dendrocygna arborea,75
dendrocygna bicolor,76
dendrocygna eytoni,77
dendrocygna arcuata,78
dendrocygna javanica,79
thalassornis leuconotos,80
thalassornis leuconotus,80
cereopsis novaehollandiae,81
anser cygnoid,82
anser cygnoides,82
anser fabalis,83
anser serrirostris,84
anser brachyrhynchus,85
anser anser,86
anser albifrons,87
anser erythropus,88
anser indicus,89
anser caerulescens,90
chen caerulescens,90
anser rossii,91
chen rossii,91
anser canagica,92
anser canagicus,92
chen canagica,92
philacte canagica,92
branta canadensis,93
branta hutchinsii,94
branta sandvicensis,95
branta bernicla,96
branta leucopsis,97
branta ruficollis,98
coscoroba coscoroba,99
cygnus atratus,100
cygnus melancoryphus,101
cygnus melanocorypha,101
cygnus melanocoryphus,101
sthenelides melancoryphus,101
cygnus olor,102
piaya minuta,2333
cygnus buccinator,103
cygnus columbianus,104
cygnus bewickii,105
cygnus cygnus,106
stictonetta naevosa,107
hymenolaimus malacorhynchos,108
hymenolaimus malacorhynchus,108
tachyeres patachonicus,109
tachyeres pteneres,110
tachyeres brachypterus,111
tachyeres leucocephalus,112
merganetta armata,113
plectropterus gambensis,114
sarkidiornis sylvicola,115
sarkidiornis melanotos,116
cyanochen cyanoptera,117
cyanochen cyanopterus,117
alopochen aegyptiaca,118
alopochen aegyptiacus,118
alopochen mauritiana,119
alopochen mauritianus,119
alopochen kervazoi,120
neochen jubata,121
chloephaga melanoptera,122
chloephaga picta,123
chloephaga hybrida,124
chloephaga poliocephala,125
chloephaga rubidiceps,126
tadorna tadorna,127
radjah radjah,128
tadorna radjah,128
tadorna ferruginea,129
tadorna cana,130
tadorna tadornoides,131
tadorna variegata,132
tadorna cristata,133
malacorhynchus membranaceus,134
anas waigiuensis,135
salvadorina waigiuensis,135
cairina moschata,136
asarcornis scutulata,137
cairina scutulata,137
pteronetta hartlaubii,138
aix sponsa,139
aix galericulata,140
chenonetta jubata,141
nettapus auritus,142
nettapus coromandelianus,143
nettapus pulchellus,144
amazonetta brasiliensis,145
callonetta leucophrys,146
anas specularioides,147
lophonetta specularioides,147
anas specularis,148
speculanas specularis,148
anas capensis,149
anas strepera,150
mareca strepera,150
anas falcata,151
mareca falcata,151
anas sibilatrix,152
mareca sibilatrix,152
anas penelope,153
mareca penelope,153
anas americana,154
mareca americana,154
anas marecula,155
anas sparsa,156
anas rubripes,157
anas platyrhynchos,158
anas fulvigula,159
anas diazi,160
anas wyvilliana,161
anas laysanensis,162
anas luzonica,163
anas superciliosa,164
anas poecilorhyncha,165
anas zonorhyncha,166
anas undulata,167
anas melleri,168
anas discors,169
spatula discors,169
anas cyanoptera,170
spatula cyanoptera,170
anas smithii,171
spatula smithii,171
anas platalea,172
spatula platalea,172
anas rhynchotis,173
spatula rhynchotis,173
anas clypeata,174
spatula clypeata,174
anas bernieri,175
anas theodori,176
anas chathamica,177
anas gibberifrons,178
anas albogularis,179
anas gracilis,180
anas castanea,181
anas aucklandica,182
anas nesiotis,183
anas chlorotis,184
anas bahamensis,185
anas erythrorhyncha,186
anas flavirostris,187
anas andium,188
anas georgica,189
anas acuta,190
anas eatoni,191
anas querquedula,192
querquedula querquedula,192
spatula querquedula,192
anas formosa,193
sibirionetta formosa,193
anas crecca,194
anas carolinensis,195
anas versicolor,196
punanetta versicolor,196
spatula versicolor,196
anas puna,197
punanetta puna,197
spatula puna,197
