scinam,sex.sel.m,sex.sel.f,certainty
abeillia abeillei,5,0,4
abroscopus albogularis,0,0,1
abroscopus schisticeps,0,0,3
abroscopus superciliaris,0,0,1
aburria aburri,0,0,3
acanthagenys rufogularis,0,0,1
acanthidops bairdii,0,0,2
acanthisitta chloris,0,0,1
acanthiza apicalis,0,0,1
acanthiza chrysorrhoa,0,0,1
acanthiza ewingii,0,0,1
acanthiza inornata,0,0,1
acanthiza iredalei,0,0,1
acanthiza katherina,0,0,1
acanthiza lineata,0,0,1
acanthiza murina,0,0,1
acanthiza nana,0,0,1
acanthiza pusilla,0,0,1
acanthiza reguloides,0,0,1
acanthiza robustirostris,0,0,1
acanthiza uropygialis,0,0,1
acanthorhynchus superciliosus,0,0,1
acanthorhynchus tenuirostris,0,0,1
acanthornis magna,0,0,1
accipiter albogularis,0,0,3
accipiter badius,0,0,2
accipiter bicolor,0,0,2
accipiter brachyurus,0,0,4
accipiter brevipes,0,0,3
accipiter butleri,0,0,4
accipiter castanilius,0,0,4
accipiter chilensis,,,
accipiter chionogaster,,,
accipiter cirrocephalus,0,0,3
accipiter collaris,0,0,4
accipiter cooperii,0,0,1
accipiter erythrauchen,0,0,4
accipiter erythronemius,,,
accipiter erythropus,0,0,3
accipiter fasciatus,0,0,3
accipiter francesiae,0,0,2
accipiter gentilis,0,0,1
accipiter griseiceps,0,0,4
accipiter gularis,0,0,3
accipiter gundlachi,0,0,3
accipiter haplochrous,0,0,3
accipiter henicogrammus,0,0,4
accipiter henstii,0,0,2
accipiter imitator,0,0,4
accipiter luteoschistaceus,0,0,4
accipiter madagascariensis,0,0,2
accipiter melanochlamys,0,0,4
accipiter melanoleucus,0,0,2
accipiter meyerianus,0,0,3
accipiter minullus,0,0,3
accipiter nanus,0,0,4
accipiter nisus,1,0,1
accipiter novaehollandiae,0,0,3
accipiter ovampensis,0,0,2
accipiter poliocephalus,0,0,3
accipiter poliogaster,0,0,2
accipiter princeps,0,0,4
accipiter rhodogaster,0,0,4
accipiter rufitorques,0,0,3
accipiter rufiventris,0,0,3
accipiter soloensis,0,0,2
accipiter striatus,0,0,2
accipiter superciliosus,0,0,3
accipiter tachiro,0,0,1
accipiter toussenelii,0,0,4
accipiter trinotatus,0,0,4
accipiter trivirgatus,0,0,3
accipiter ventralis,,,
accipiter virgatus,0,0,3
aceros cassidix,0,0,2
aceros comatus,0,0,3
aceros corrugatus,0,0,2
aceros everetti,0,0,4
aceros leucocephalus,0,0,2
aceros narcondami,0,0,1
aceros nipalensis,0,0,1
aceros plicatus,0,0,3
aceros subruficollis,0,0,3
aceros undulatus,0,0,2
aceros waldeni,0,0,2
achaetops pycnopygius,0,0,1
acridotheres albocinctus,0,0,4
acridotheres cinereus,0,0,4
acridotheres cristatellus,0,0,1
