Species	Class	Habitat breadth (Within-class co-occurrence index; multiplicative beta)	Habitat breadth (co-occurrence among species from all four classes; multiplicative beta)	Habitat breadth (Within-class co-occurrence index; additive beta)	Habitat breadth (co-occurrence among species from all four classes; additive beta)	Number-habitat-classes	Total-number-IUCN-habitat-categories
Acanthixalus-sonjae	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Acanthixalus-spinosus	AMPHIBIA	1.593809223	1.630444219	941	4358	1	2
Acris-crepitans	AMPHIBIA	4.262546602	4.990313229	2529.111111	6271.555556	3	9
Acris-gryllus	AMPHIBIA	3.95471961	4.384120521	2424.714286	5937.714286	3	7
Adelophryne-adiastola	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Adelophryne-baturitensis	AMPHIBIA	2.469341894	2.208905897	1526.666667	6951	2	3
Adelophryne-gutturosa	AMPHIBIA	1.829324345	2.070295405	1805.333333	7827	2	3
Adelophryne-maranguapensis	AMPHIBIA	2.469341894	2.208905897	1526.666667	6951	2	3
Adelotus-brevis	AMPHIBIA	4.045418006	5.442581698	3031.8	13065.3	3	10
Adelphobates-castaneoticus	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Adelphobates-galactonotus	AMPHIBIA	1.629213483	1.87743319	1177	5320	2	2
Adelphobates-quinquevittatus	AMPHIBIA	1.992070117	2.574775564	1585.666667	7193	2	3
Adenomera-andreae	AMPHIBIA	2.99452954	3.070467335	1824	8463	3	4
Adenomera-araucaria	AMPHIBIA	2.277284446	2.196672275	1487.333333	6402	2	3
Adenomera-bokermanni	AMPHIBIA	2.982795699	3.102095268	2767	10715.8	4	5
Adenomera-diptyx	AMPHIBIA	4.309121061	5.030657877	2495.25	10929.625	5	8
Adenomera-heyeri	AMPHIBIA	0.999564839	0.999904086	0	0	1	1
Adenomera-hylaedactyla	AMPHIBIA	3.92872617	5.056362499	3005.222222	12971.44444	4	9
Adenomera-marmorata	AMPHIBIA	2.092514395	2.060334833	1898.333333	7622.333333	2	3
Adenomera-martinezi	AMPHIBIA	3.323809524	3.735015279	977	5818.833333	3	6
Adenomera-nanus	AMPHIBIA	2.509210116	2.459860248	1612.333333	6268.666667	2	3
Adenomera-thomei	AMPHIBIA	1.757002546	1.675788532	1041.5	4532.5	2	2
Adenomus-dasi	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Adenomus-kandianus	AMPHIBIA	1.520454008	1.772545613	1101.5	4447	2	2
Adenomus-kelaartii	AMPHIBIA	2.222925735	2.64007145	2318.75	9641.75	2	4
Afrixalus-aureus	AMPHIBIA	3.463141385	4.804122051	1375.125	5907.375	3	8
Afrixalus-brachycnemis	AMPHIBIA	3.600742804	4.618719212	1401.5	5969.625	3	8
Afrixalus-clarkei	AMPHIBIA	3.518770667	3.775233341	2590.8	10229.4	3	5
Afrixalus-crotalus	AMPHIBIA	3.192499268	4.006993007	1248.166667	4157.666667	3	6
Afrixalus-delicatus	AMPHIBIA	4.693523712	5.982070748	1811.75	10282.33333	4	12
Afrixalus-dorsalis	AMPHIBIA	4.196527521	5.577515503	2596.9	11442.5	5	10
Afrixalus-dorsimaculatus	AMPHIBIA	2.537601933	2.821585803	2546.5	10034.75	2	4
Afrixalus-enseticola	AMPHIBIA	3.77148704	4.195438708	2709.666667	10089	4	6
Afrixalus-equatorialis	AMPHIBIA	2.37037037	3.201071019	1888	8632.5	2	4
Afrixalus-fornasini	AMPHIBIA	4.640671583	6.734184562	1785.769231	9881	4	13
Afrixalus-fulvovittatus	AMPHIBIA	2.955308249	4.061771929	1582.285714	6947.285714	4	7
Afrixalus-knysnae	AMPHIBIA	3.40973236	4.534012939	1415.857143	5151.571429	4	7
Afrixalus-lacteus	AMPHIBIA	2.581111302	2.980285359	2298.75	8363.25	2	4
Afrixalus-laevis	AMPHIBIA	1.527873365	1.765058521	1151.5	5361	2	2
Afrixalus-leucostictus	AMPHIBIA	2.417241379	2.771421965	2467	9577.75	2	4
Afrixalus-morerei	AMPHIBIA	3.223021583	3.425149701	2086.75	7999.75	3	4
Afrixalus-nigeriensis	AMPHIBIA	2.081632653	2.347615979	1661.666667	6972.666667	2	3
Afrixalus-orophilus	AMPHIBIA	2.629296996	2.73845736	1754.666667	6402	3	3
Afrixalus-osorioi	AMPHIBIA	2.888764045	3.780847724	2242.333333	10334.16667	3	6
