species_orig	scinam	hvc
Carduelis tristis	Carduelis_tristis	0.355
Turdus migratorius	Turdus_migratorius	1.267
Hirundo rustica	Hirundo_rustica	0.314
Sylvia nisoria	Sylvia_nisoria	0.866
Phoenicurus ochruros	Phoenicurus_ochruros	0.363
Poecile atricapillus	Parus_atricapillus	0.153
Cyanocitta cristata	Cyanocitta_cristata	0.488
Molothrus ater	Molothrus_ater	0.462
Spizella passerina	Spizella_passerina	0.140
Turdus merula	Turdus_merula	1.592
Fringilla coelebs	Fringilla_coelebs	0.223
Locustella naevia	Locustella_naevia	0.104
Delichon urbicum	Delichon_urbicum	0.253
Carduelis cannabina	Carduelis_cannabina	0.248
Luscinia megarhynchos	Luscinia_megarhynchos	1.319
Sturnus vulgaris	Sturnus_vulgaris	2.863
Sylvia communis	Sylvia_communis	0.767
Geothlypis trichas	Geothlypis_trichas	0.077
Emberiza calandra	Miliaria_calandra	0.472
Galerida cristata	Galerida_cristata	1.226
Acrocephalus scirpaceus	Acrocephalus_scirpaceus	0.589
Alauda arvensis	Alauda_arvensis	2.330
Passer montanus	Passer_montanus	0.458
Carduelis carduelis	Carduelis_carduelis	0.415
Ficedula hypoleuca	Ficedula_hypoleuca	0.186
Saxicola rubicola	Saxicola_torquatus	0.604
Acrocephalus arundinaceus	Acrocephalus_arundinaceus	0.633
Dumetella carolinensis	Dumetella_carolinensis	1.016
Coccothraustes coccothraustes	Coccothraustes_coccothraustes	1.021
Passer domesticus	Passer_domesticus	0.326
Passerina cyanea	Passerina_cyanea	0.260
Lanius minor	Lanius_minor	0.948
Sylvia curruca	Sylvia_curruca	0.364
Aegithalos caudatus	Aegithalos_caudatus	0.245
Acrocephalus palustris	Acrocephalus_palustris	0.906
Acrocephalus melanopogon	Acrocephalus_melanopogon	0.298
Cardinalis cardinalis	Cardinalis_cardinalis	0.371
Mimus polyglottos	Mimus_polyglottos	0.975
Oenanthe oenanthe	Oenanthe_oenanthe	0.916
Lanius collurio	Lanius_collurio	0.366
Locustella fluviatilis	Locustella_fluviatilis	0.180
Pheucticus ludovicianus	Pheucticus_ludovicianus	0.482
Riparia riparia	Riparia_riparia	0.375
Locustella luscinioides	Locustella_luscinioides	0.249
Acrocephalus schoenobaenus	Acrocephalus_schoenobaenus	0.301
Melospiza melodia	Melospiza_melodia	0.709
Muscicapa striata	Muscicapa_striata	1.186
Anthus campestris	Anthus_campestris	0.154
Anthus trivialis	Anthus_trivialis	0.185
Catharus fuscescens	Catharus_fuscescens	0.429
Motacilla flava	Motacilla_flava	0.161
Saxicola rubetra	Saxicola_rubetra	0.893
Motacilla alba	Motacilla_alba	0.199
Zonotrichia albicollis	Zonotrichia_albicollis	0.222
Hylocichla mustelina	Hylocichla_mustelina	0.613
Emberiza citrinella	Emberiza_citrinella	0.420
Emberiza elegans	Emberiza_elegans	0.571
