scinam,syllable_rep,syllables_per_song,song_rep
Acrocephalus_arundinaceus,22.5,5,500
Acrocephalus_bistrigiceps,55,10,400
Acrocephalus_dumetorum,,3.48,55.3
Acrocephalus_melanopogon,102,,
Acrocephalus_paludicola,15,20,100
Acrocephalus_palustris,241,90,100
Acrocephalus_scirpaceus,80,80,500
Acrocephalus_sechellensis,32,,
Acrocephalus_schoenobaenus,55,6.35,100
Acrocephalus_stentoreus,15,,
Agelaius_phoeniceus,18.5,3,5
Agelasticus_thilius,17.9,,6
Aimophila_aestivalis,,2,20
Aimophila_quinquestriata,,,75
Alauda_arvensis,341,15,
Ammodramus_bairdii,,,1
Ammodramus_caudacutus,,,1
Ammodramus_maritimus,,3,4
Amphispiza_belli,,,1
Amphispiza_bilineata,,,9
Anthus_campestris,1,3,1
Anthus_pratensis,,,1
Anthus_spinoletta,5.1,5.1,1
Anthus_trivialis,11,6,
Arremonops_rufivirgatus,,,1
Baeolophus_atricristatus,,1,9
Baeolophus_bicolor,,1.5,12.85
Baeolophus_inornatus,,1.5,11
Baeolophus_wollweberi,,,2
Bradornis_mariquensis,,2,
Cacicus_cela,26,,253.25
Cacicus_uropygialis,11.3,,12
Calcarius_lapponicus,,16,1
Calcarius_ornatus,,7.5,
Calcarius_pictus,10.1,10.1,1
Campylorhynchus_nuchalis,,,5
Cardinalis_cardinalis,14,1.75,13.835
Carduelis_carduelis,60,,
Carduelis_flammea,,,16
Carduelis_chloris,32.5,3,261
Carduelis_spinus,,15,
Carduelis_tristis,33,,100
Carpodacus_cassinii,27,,86
Carpodacus_erythrinus,5.3,4.9,1
Carpodacus_mexicanus,41.3,1.3,4.25
Carpodacus_purpureus,,15,
Catharus_fuscescens,12,3,2
Catharus_guttatus,,4,13
Catharus_minimus,,,3
Catharus_ustulatus,,6,5
Catherpes_mexicanus,,3,3
Certhia_brachydactyla,,,1.5
Certhia_familiaris,5,5,1
Cettia_cetti,,4,
Cinclus_cinclus,,12,
Cinclus_mexicanus,,2,
Cisticola_juncidis,,2,1
Cistothorus_meridae,,,22.5
Cistothorus_palustris,,3,106.5
Cistothorus_platensis,,66,110
Coccothraustes_coccothraustes,,6,
Corvus_brachyrhynchos,,,17
Cyclarhis_gujanensis,,,2
Delichon_urbicum,,4,
Dendroica_castanea,,2,2
Dendroica_coronata,,1.9,2
Dendroica_discolor,,6,6
Dendroica_dominica,,,2
Dendroica_fusca,,3.2,2
Dendroica_magnolia,,3.1,2
Dendroica_nigrescens,,4,2
Dendroica_pensylvanica,10.75,3.5,5
Dendroica_petechia,8.3,3.7,12
Dendroica_tigrina,,1.2,3
Dendroica_townsendi,,3,
Dendroica_virens,,2.4,2
Dolichonyx_oryzivorus,,9.5,10
Dumetella_carolinensis,328,500,500
Emberiza_cirlus,,2,3.25
Emberiza_citrinella,4.5,3,2.24
Emberiza_elegans,109,,
Emberiza_hortulana,4.2,2.5,2.75
Emberiza_schoeniclus,18.15,3,17.5
Emberiza_striolata,,2.5,
Empidonax_alnorum,,,1
Empidonax_difficilis,,3,3
Empidonax_flaviventris,,3,
Empidonax_traillii,,2,3
Empidonax_virescens,,3,3
Epimachus_albertisi,,,2
Eremophila_alpestris,,,2
Erithacus_rubecula,,4,500
Euphagus_carolinus,,,2
Euphagus_cyanocephalus,5,,4
Ficedula_albicollis,31.4,7.675,500
Ficedula_hypoleuca,28.4,6.83,100
Fringilla_coelebs,17.9,5,2.75
Galerida_cristata,55,,
Geospiza_conirostris,,,1
Geospiza_difficilis,,,1
Geospiza_fortis,1.2,1.2,1
Geospiza_fuliginosa,,,1
Geospiza_magnirostris,,,1
Geospiza_scandens,1.5,1.5,1
Geothlypis_trichas,5,4.9,1
Gymnorhina_tibicen,,,14
Hippolais_icterina,,1.5,
Hippolais_polyglotta,,12,
Hirundo_rustica,20.1,16.9,56
Hylocichla_mustelina,16,4,18
Icterus_galbula,8.5,10.7,6.5
Junco_hyemalis,1.8,1.05,5
Junco_phaeonotus,,,2
Lagonosticta_senegala,,,1
Lamprotornis_purpuroptera,,7,
Lamprotornis_superbus,39,,
Lanius_collurio,,12,
Limnothlypis_swainsonii,,,1
Locustella_fluviatilis,2.5,,
Locustella_luscinioides,1.25,1,1
Locustella_naevia,1.25,1,1
Lonchura_striata,11,11,1
Luscinia_luscinia,49,,
Luscinia_megarhynchos,1160,7.5,220
