scinam	family	scinam_bw_corrected	clade	id	NOTE	scinam_bw_completed	.duplicates	suborder	infraorder	parvorder	superfamily	Note	Missing?	in our database but do no longer exist	scinam_eB	order_eB	family_eB	group_eB
asthenes arequipae	furnariidae	1	Suboscines	342		asthenes arequipae	FALSE					"separate species in the book, merged with A. dorbignyi online"						
asthenes huancavelicae	furnariidae	1	Suboscines	349		asthenes huancavelicae	FALSE					"separate species in the book, merged with A. dorbignyi online"						
basileuterus chlorophrys	parulidae	1	Oscines	426		myiothlypis chlorophrys	FALSE					placed in Myiothlypis			Myiothlypis chlorophrys	Passeriformes	Parulidae (New World Warblers)	Wood-Warblers
bradypterus timorensis	locustellidae	1	Oscines	503		locustella timorensis	FALSE					placed in Locustella						
Cryptillas victorini	macrosphenidae	1	Oscines	504	in sylvoidea	cryptillas victorini	FALSE					ok online as well as in the book						
buettikoferella bivittata	locustellidae	1	Oscines	507		cincloramphus bivittatus	FALSE					ok online as well as in the book			Cincloramphus bivittatus	Passeriformes	Locustellidae (Grassbirds and Allies)	Grassbirds and Allies
cacicus leucoramphus	icteridae	1	Oscines	517		cacicus leucoramphus	FALSE					"separate species in the book, merged with C chrysonotus online"						
cacicus microrhynchus	icteridae	1	Oscines	519		cacicus microrhynchus	FALSE					"separate species in the book, merged with C uropygialis online"						
contopus punensis	tyrannidae	1	Suboscines	952		contopus punensis	FALSE					ok online as well as in the book			Contopus punensis	Passeriformes	Tyrannidae (Tyrant Flycatchers)	"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
copsychus stricklandii	muscicapidae	1	Oscines	962		copsychus stricklandii	FALSE					ok online as well as in the book (v knize Kittacincla)			Copsychus stricklandii	Passeriformes	Muscicapidae (Old World Flycatchers)	Old World Flycatchers
cranioleuca baroni	furnariidae	1	Suboscines	1061		cranioleuca baroni	FALSE					mergd with C antisiensis online						
cyanocorax luxuosus	corvidae	1	Oscines	1119		cyanocorax luxuosus	FALSE					merged with C yncas online			Cyanocorax yncas	Passeriformes	"Corvidae (Crows, Jays, and Magpies)"	"Jays, Magpies, Crows, and Ravens"
dendroica aestiva	parulidae	1	Oscines	1198		setophaga aestiva	FALSE					is setophaga			Setophaga petechia	Passeriformes	Parulidae (New World Warblers)	Wood-Warblers
dicaeum aeruginosum	dicaeidae	1	Oscines	1230		dicaeum aeruginosum	FALSE					merged with D agile online			Dicaeum agile	Passeriformes	Dicaeidae (Flowerpeckers)	Flowerpeckers
epinecrophylla fjeldsaai	thamnophilidae	1	Suboscines	1432		epinecrophylla fjeldsaai	FALSE					merged with E haematonota online						
formicarius moniliger	formicariidae	1	Suboscines	1580		formicarius moniliger	FALSE					recognosised online and in the book			Formicarius moniliger	Passeriformes	Formicariidae (Antthrushes)	Antthrushes
formicivora intermedia	thamnophilidae	1	Suboscines	1587		formicivora intermedia	FALSE					recognosised online and in the book						
furnarius cinnamomeus	furnariidae	1	Suboscines	1605		furnarius cinnamomeus	FALSE					"separate species in the book, merged with F lucopus online"						
furnarius longirostris	furnariidae	1	Suboscines	1609		furnarius longirostris	FALSE					"separate species in the book, merged with F lucopus online"						
geothlypis auricularis	parulidae	1	Oscines	1690		geothlypis auricularis	FALSE					recognosised online and in the book			Geothlypis auricularis	Passeriformes	Parulidae (New World Warblers)	Wood-Warblers
geothlypis chiriquensis	parulidae	1	Oscines	1692		geothlypis chiriquensis	FALSE					recognised in the book only merged with semiflava online						
geothlypis velata	parulidae	1	Oscines	1700		geothlypis velata	FALSE					"valid, recognised in both"			Geothlypis velata	Passeriformes	Parulidae (New World Warblers)	Wood-Warblers
hemispingus auricularis	thraupidae	1	Oscines	1808		kleinothraupis auricularis	FALSE					"recognised in the book only, merged with atropileus online"						
hemispingus ochraceus	thraupidae	1	Oscines	1813		sphenopsis ochracea	FALSE					"recognised in th book, merged with S melanotis onlie"						
hemispingus piurae	thraupidae	1	Oscines	1814		sphenopsis piurae	FALSE					"recognised in th book, merged with S melanotis onlie"						
hylexetastes brigidai	furnariidae	1	Suboscines	1913		hylexetastes brigidai	FALSE					"recognised in the book, merged with perrotii online"						
hylexetastes uniformis	furnariidae	1	Suboscines	1916		hylexetastes uniformis	FALSE					"recognised in the book, merged with perrotii online"			Hylexetastes uniformis	Passeriformes	Furnariidae (Ovenbirds and Woodcreepers)	Woodcreepers
