family_bw	family	suborder	infraorder	parvorder	superfamily	Note	in our database but do no longer exist
acanthisittidae	acanthisittidae	Acanthisitti	Acanthisitti	Acanthisitti	Acanthisitti		
acanthizidae	acanthizidae	Passeri	Meliphagides	Meliphagides	Meliphagides		
acrocephalidae	acrocephalidae	Passeri	Passerides	Passerida	Sylvoidea		
aegithalidae	aegithalidae	Passeri	Passerides	Passerida	Sylvoidea		
aegithinidae	aegithinidae	Passeri	Corvides	Corvides	Malaconotoidea		
alaudidae	alaudidae	Passeri	Passerides	Passerida	Sylvoidea		
artamidae	artamidae	Passeri	Corvides	Corvides	Malaconotoidea		
atrichornithidae	atrichornithidae	Passeri	Menurides	Menurides	Menurides		
bernieridae	bernieridae	Passeri	Passerides	Passerida	Sylvoidea		
bombycillidae	bombycillidae	Passeri	Passerides	Passerida	Bombycilloidea		
calcariidae	calcariidae	Passeri	Passerides	Passerida	Passeroidea		
callaeidae	callaeidae	Passeri	Passerides	Callaeida	Callaeida		
calyptomenidae	calyptomenidae	Tyranni	Eurylaimides	Eurylaimides	Eurylaimides		
calyptophilidae	calyptophilidae	Passeri	Passerides	Passerida	Passeroidea		
campephagidae	campephagidae	Passeri	Corvides	Corvides	Nosuperfamily3		
cardinalidae	cardinalidae	Passeri	Passerides	Passerida	Passeroidea		
certhiidae	certhiidae	Passeri	Passerides	Passerida	Certhioidea		
chaetopidae	chaetopidae	Passeri	Passerides	Eupetida	Eupetida		
chloropseidae	chloropseidae	Passeri	Passerides	Passerida	Passeroidea		
cinclidae	cinclidae	Passeri	Passerides	Passerida	Muscicapoidea		
cinclosomatidae	cinclosomatidae	Passeri	Corvides	Corvides	Nosuperfamily1		
cisticolidae	cisticolidae	Passeri	Passerides	Passerida	Sylvoidea		
climacteridae	climacteridae	Passeri	Climacterides	Climacterides	Climacterides		
cnemophilidae	cnemophilidae	Passeri	Passerides	cnemophilides	Nosuperfamily5		
conopophagidae	conopophagidae	Tyranni	Tyrannides	Furnariida	Thamnophiloidea		
corcoracidae	corcoracidae	Passeri	Corvides	Corvides	Corvoidea		
corvidae	corvidae	Passeri	Corvides	Corvides	Corvoidea		
cotingidae	cotingidae	Tyranni	Tyrannides	Tyrannida	Cotingoidea		
dasyornithidae	dasyornithidae	Passeri	Meliphagides	Meliphagides	Meliphagides		
dicaeidae	dicaeidae	Passeri	Passerides	Passerida	Passeroidea		
dicruridae	dicruridae	Passeri	Corvides	Corvides	Corvoidea		
donacobiidae	donacobiidae	Passeri	Passerides	Passerida	Sylvoidea		
dulidae	dulidae	Passeri	Passerides	Passerida	Bombycilloidea		
elachuridae	elachuridae	Passeri	Passerides	Passerida	Elachuroidea		
emberizidae	emberizidae	Passeri	Passerides	Passerida	Passeroidea		
estrildidae	estrildidae	Passeri	Passerides	Passerida	Passeroidea		
eulacestomatidae	eulacestomatidae	Passeri	Corvides	Corvides	Orioloidea		
eupetidae	eupetidae	Passeri	Passerides	Eupetida	Eupetida		
eurylaimidae	eurylaimidae	Tyranni	Eurylaimides	Eurylaimides	Eurylaimides		
falcunculidae	falcunculidae	Passeri	Corvides	Corvides	Orioloidea		
formicariidae	formicariidae	Tyranni	Tyrannides	Furnariida	Furnaroidea		
fringillidae	fringillidae	Passeri	Passerides	Passerida	Passeroidea		
furnariidae	furnariidae	Tyranni	Tyrannides	Furnariida	Furnaroidea		
grallariidae	grallariidae	Tyranni	Tyrannides	Furnariida	Furnaroidea		
hirundinidae	hirundinidae	Passeri	Passerides	Passerida	Sylvoidea		
hyliotidae	hyliotidae	Passeri	Passerides	Passerida	Hyliotoidea		
icteridae	icteridae	Passeri	Passerides	Passerida	Passeroidea		
ifritidae	ifritidae	Passeri	Corvides	Corvides	Corvoidea		
irenidae	irenidae	Passeri	Passerides	Passerida	Passeroidea		
laniidae	laniidae	Passeri	Corvides	Corvides	Corvoidea		
leiothrichidae	leiothrichidae	Passeri	Passerides	Passerida	Sylvoidea		
locustellidae	locustellidae	Passeri	Passerides	Passerida	Sylvoidea		
machaerirhynchidae	machaerirhynchidae	Passeri	Corvides	Corvides	Malaconotoidea		
macrosphenidae	macrosphenidae	Passeri	Passerides	Passerida	Sylvoidea		
malaconotidae	malaconotidae	Passeri	Corvides	Corvides	Malaconotoidea		
maluridae	maluridae	Passeri	Meliphagides	Meliphagides	Meliphagides		
melampittidae	melampittidae	Passeri	Corvides	Corvides	Corvoidea		
melanocharitidae	melanocharitidae	Passeri	Passerides	melanocharitides	Nosuperfamily6		
melanopareiidae	melanopareiidae	Tyranni	Tyrannides	Furnariida	Thamnophiloidea		
meliphagidae	meliphagidae	Passeri	Meliphagides	Meliphagides	Meliphagides		
menuridae	menuridae	Passeri	Menurides	Menurides	Menurides		
mimidae	mimidae	Passeri	Passerides	Passerida	Muscicapoidea		
mitrospingidae	mitrospingidae	Passeri	Passerides	Passerida	Passeroidea		
modulatricidae	modulatricidae	Passeri	Passerides	Passerida	Passeroidea		
mohouidae	mohouidae	Passeri	Corvides	Corvides	Nosuperfamily4		
monarchidae	monarchidae	Passeri	Corvides	Corvides	Corvoidea		
motacillidae	motacillidae	Passeri	Passerides	Passerida	Passeroidea		
muscicapidae	muscicapidae	Passeri	Passerides	Passerida	Muscicapoidea		
nectariniidae	nectariniidae	Passeri	Passerides	Passerida	Passeroidea		
neosittidae	neosittidae	Passeri	Corvides	Corvides	Nosuperfamily2		
nesospingidae	nesospingidae	Passeri	Passerides	Passerida	Passeroidea		
nicatoridae	nicatoridae	Passeri	Passerides	Passerida	Sylvoidea		
notiomystidae	notiomystidae	Passeri	Passerides	Callaeida	Callaeida		
oreoicidae	oreoicidae	Passeri	Corvides	Corvides	Orioloidea		
oriolidae	oriolidae	Passeri	Corvides	Corvides	Orioloidea		
orthonychidae	orthonychidae	Passeri	Orthonychides	Orthonychides	Orthonychides		
oxyruncidae	oxyruncidae	Tyranni	Tyrannides	Tyrannida	Tyrannoidea		
pachycephalidae	pachycephalidae	Passeri	Corvides	Corvides	Orioloidea		
panuridae	panuridae	Passeri	Passerides	Passerida	Sylvoidea		
paradisaeidae	paradisaeidae	Passeri	Corvides	Corvides	Corvoidea		
pardalotidae	pardalotidae	Passeri	Meliphagides	Meliphagides	Meliphagides		
paridae	paridae	Passeri	Passerides	Passerida	Paroidea		
parulidae	parulidae	Passeri	Passerides	Passerida	Passeroidea		
passerellidae	passerellidae	Passeri	Passerides	Passerida	Passeroidea		
passeridae	passeridae	Passeri	Passerides	Passerida	Passeroidea		
pellorneidae	pellorneidae	Passeri	Passerides	Passerida	Sylvoidea		
petroicidae	petroicidae	Passeri	Passerides	Petroicida	Petroicida		
peucedramidae	peucedramidae	Passeri	Passerides	Passerida	Passeroidea		
philepittidae	philepittidae	Tyranni	Eurylaimides	Eurylaimides	Eurylaimides		
phylloscopidae	phylloscopidae	Passeri	Passerides	Passerida	Sylvoidea		
pipridae	pipridae	Tyranni	Tyrannides	Tyrannida	Piproidea		
pittidae	pittidae	Tyranni	Eurylaimides	Eurylaimides	Eurylaimides		
pityriasidae	pityriasidae	Passeri	Corvides	Corvides	Malaconotoidea		
platylophidae	platylophidae	Passeri	Corvides	Corvides	Corvoidea		
platysteiridae	platysteiridae	Passeri	Corvides	Corvides	Malaconotoidea		
ploceidae	ploceidae	Passeri	Passerides	Passerida	Passeroidea		
pnoepygidae	pnoepygidae	Passeri	Passerides	Passerida	Sylvoidea		
polioptilidae	polioptilidae	Passeri	Passerides	Passerida	Certhioidea		
pomatostomidae	pomatostomidae	Passeri	Orthonychides	Orthonychides	Orthonychides		
promeropidae	promeropidae	Passeri	Passerides	Passerida	Passeroidea		
prunellidae	prunellidae	Passeri	Passerides	Passerida	Passeroidea		
psophodidae	psophodidae	Passeri	Corvides	Corvides	Orioloidea		
Ptiliogonatidae	Ptiliogonatidae	Passeri	Passerides	Passerida	Bombycilloidea		
ptilonorhynchidae	ptilonorhynchidae	Passeri	Climacterides	Climacterides	Climacterides		
pycnonotidae	pycnonotidae	Passeri	Passerides	Passerida	Sylvoidea		
regulidae	regulidae	Passeri	Passerides	Passerida	Reguloidea		
remizidae	remizidae	Passeri	Passerides	Passerida	Paroidea		
rhagologidae	rhagologidae	Passeri	Corvides	Corvides	Malaconotoidea		
rhinocryptidae	rhinocryptidae	Tyranni	Tyrannides	Furnariida	Furnaroidea		
rhipiduridae	rhipiduridae	Passeri	Corvides	Corvides	Corvoidea		
rhodinocichlidae	rhodinocichlidae	Passeri	Passerides	Passerida	Passeroidea		
sapayoidae	sapayoidae	Tyranni	Eurylaimides	Eurylaimides	Eurylaimides		
scotocercidae	scotocercidae	Passeri	Passerides	Passerida	Sylvoidea		
sittidae	sittidae	Passeri	Passerides	Passerida	Certhioidea		
spindalidae	spindalidae	Passeri	Passerides	Passerida	Passeroidea		
stenostiridae	stenostiridae	Passeri	Passerides	Passerida	Stenostiroidea		
sturnidae	sturnidae	Passeri	Passerides	Passerida	Muscicapoidea		
sylviidae	sylviidae	Passeri	Passerides	Passerida	Sylvoidea		
teretistridae	teretistridae	Passeri	Passerides	Passerida	Passeroidea		
thamnophilidae	thamnophilidae	Tyranni	Tyrannides	Furnariida	Thamnophiloidea		
thraupidae	thraupidae	Passeri	Passerides	Passerida	Passeroidea		
tichodromidae	tichodromidae	Passeri	Passerides	Passerida	Certhioidea		
timaliidae	timaliidae	Passeri	Passerides	Passerida	Sylvoidea		
tityridae	tityridae	Tyranni	Tyrannides	Tyrannida	Tyrannoidea		
troglodytidae	troglodytidae	Passeri	Passerides	Passerida	Certhioidea		
turdidae	turdidae	Passeri	Passerides	Passerida	Muscicapoidea		
tyrannidae	tyrannidae	Tyranni	Tyrannides	Tyrannida	Tyrannoidea		
urocynchramidae	urocynchramidae	Passeri	Passerides	Passerida	Passeroidea		
vangidae	vangidae	Passeri	Corvides	Corvides	Malaconotoidea		
viduidae	viduidae	Passeri	Passerides	Passerida	Passeroidea		
vireonidae	vireonidae	Passeri	Corvides	Corvides	Orioloidea		
zeledoniidae	zeledoniidae	Passeri	Passerides	Passerida	Passeroidea		
zosteropidae	zosteropidae	Passeri	Passerides	Passerida	Sylvoidea		
