Song_number	Reference_level	Vol1	Vol2	Vol3	Vol4	Vol5	Vol6	Vol7
1	1	1	1	1	1	1	1	1
2	4	4	4	2	2	4	4	4
3	1	1	1	1	1	1	1	1
4	2	2	2	2	2	2	2	2
5	3	3	3	3	3	3	3	3
6	1	1	1	1	1	1	1	1
7	1	1	1	1	1	1	2	1
8	5	6	6	3	3	6	5	6
9	13	12	14	6	12	14	11	13
10	15	17	13	11	15	13	15	13
11	12	12	11	11	11	12	15	11
12	8	9	9	7	9	8	10	8
13	4	4	4	4	4	4	4	4
14	8	6	9	6	8	9	8	9
15	16	14	16	11	16	16	17	16
16	10	11	9	7	10	10	11	9
17	7	4	7	5	6	7	5	7
18	10	11	13	11	10	11	11	11
19	5	6	5	6	5	5	4	5
20	2	3	1	2	2	2	2	2
21	2	2	2	2	2	2	2	2
22	2	1	1	2	2	2	3	2
23	4	4	4	3	4	4	5	4
24	3	3	2	3	3	3	4	3
25	3	3	3	3	3	3	3	3
