scinam,XenoCantoID,date,country,site,latit,longit,altitude,elements,element_types,rec_length,rec_quality_subj,rec_quality_xeno,family,clade,group
abroscopus albogularis,XC267896,2014-07-13,China,"hills west of Dujiangyan, Sichuan",30.978,103.5782,800,50,1,61.2,A,B,sylviidae,Oscines,Sylvioidea & allies
abroscopus albogularis,XC304200,2013-04-05,China,"Ruoliao, Songyang, Lishui Shi, Zhejiang Sheng",28.3046,119.3033,600,50,1,46,A,B,sylviidae,Oscines,Sylvioidea & allies
abroscopus albogularis,XC65082,2010-05-00,Vietnam,Mang Den,,,1250,50,2,42.6,A,A,sylviidae,Oscines,Sylvioidea & allies
abroscopus albogularis,XC79822,2011-04-23,India,"Sessa Orchid Sanctuary, Arunachal Pradesh",,,635,42,3,54.9,A,B,sylviidae,Oscines,Sylvioidea & allies
abroscopus albogularis,XC81229,2010-06-26,China,"Hunan province, Bai Yun Zhen",29.494,113.383,150,50,2,120.6,A,B,sylviidae,Oscines,Sylvioidea & allies
abroscopus schisticeps,XC49756,2010-03-27,India,Mishmi Hills,28.236582,96.006775,,50,2,25,B,A,sylviidae,Oscines,Sylvioidea & allies
abroscopus superciliaris,XC100450,2012-03-19,Cambodia,Seima Biodiversity Conservation Area - ONP Trail,12.1239,106.912,130,39,11,74.6,B,A,sylviidae,Oscines,Sylvioidea & allies
abroscopus superciliaris,XC126971,2013-01-03,Vietnam,"Cat Tien National Park, Cochinchina",11.3473,107.1501,70,50,11,63.2,B,B,sylviidae,Oscines,Sylvioidea & allies
abroscopus superciliaris,XC21577,2005-04-30,Indonesia,"Sungai Wain Protection Forest, East Kalimantan, Borneo",-1.1167,116.8167,50,28,8,82.8,B,A,sylviidae,Oscines,Sylvioidea & allies
abroscopus superciliaris,XC303135,2016-02-09,Thailand,"Khlong Suan, Khlong Saeng Wildlife Sanctuary, Suratthani Province",9.1385,98.6199,110,50,10,125.8,B,A,sylviidae,Oscines,Sylvioidea & allies
abroscopus superciliaris,XC78906,2011-04-11,India,Tea estate near Kaziranga National Park,26.589,93.422,100,50,9,42.9,B,B,sylviidae,Oscines,Sylvioidea & allies
acanthagenys rufogularis,XC200385,2014-10-11,Australia,"Wyperfeld National Park (near Yaapeet), Victoria",-35.5876,142.0367,80,41,7,27,B,A,meliphagidae,Oscines,basal Oscines 8
acanthagenys rufogularis,XC30864,1993-09-03,Australia,"Amphitheatre, Finke Gorge NP, NT",-24.067,132.667,610,10,7,25,A,A,meliphagidae,Oscines,basal Oscines 8
acanthagenys rufogularis,XC328684,2016-01-07,Australia,"Eulo Bore, Queensland",-28.1136,145.206,190,33,13,80,A,A,meliphagidae,Oscines,basal Oscines 8
acanthagenys rufogularis,XC366558,2017-04-16,Australia,"Nangar National Park, New South Wales",-33.419,148.5066,460,,,184,C,A,meliphagidae,Oscines,basal Oscines 8
acanthagenys rufogularis,XC40550,2009-10-18,Australia,Nallan Station,-27.455731,117.887421,450,,,53,C,A,meliphagidae,Oscines,basal Oscines 8
acanthidops bairdii,XC271031,2015-03-02,Panama,Sendero los Quetzales (Cerro Punta side),8.848868,-82.541793,,50,2,106,A,A,emberizidae,Oscines,Passeroidea
acanthisitta chloris,XC75784,2010-02-16,New Zealand,"Ulva I., Stewart Island, New Zealand",-46.962,168.135,20,,,42,C,B,acanthisittidae,Acanthisitti,Acanthisittia
acanthiza apicalis,XC287041,2015-10-15,Australia,"Bowra Station, near Cunnamulla, Queensland",-27.9633,145.5848,200,35,5,27,B,A,acanthizidae,Oscines,basal Oscines 9
acanthiza apicalis,XC334250,2016-09-06,Australia,"Gluepot, South Australia",-33.7548,140.2104,60,41,5,24,B,B,acanthizidae,Oscines,basal Oscines 9
acanthiza apicalis,XC355029,2016-09-15,Australia,"Euabalong, Cobar Shire Council, New South Wales",-32.9667,146.1587,180,50,9,36,C,A,acanthizidae,Oscines,basal Oscines 9
acanthiza chrysorrhoa,XC278416,2015-09-09,Australia,"Richmond, New South Wales",-33.585,150.7869,10,,,15,C,A,acanthizidae,Oscines,basal Oscines 9
acanthiza chrysorrhoa,XC354591,2016-09-05,Australia,"Bowra Station, near Cunnamulla, Queensland",-27.9633,145.5848,200,50,19,36,A,A,acanthizidae,Oscines,basal Oscines 9
acanthiza chrysorrhoa,XC370629,2017-04-06,Australia,"Quoiba, Devonport City Council, Tasmania",-41.2052,146.3409,30,50,16,23,A,B,acanthizidae,Oscines,basal Oscines 9
acanthiza chrysorrhoa,XC382785,2017-07-25,Australia,"Congelin Dam, Dryandra Woodland, Western Australia",-32.8166,116.8865,280,50,32,12,C,A,acanthizidae,Oscines,basal Oscines 9
acanthiza chrysorrhoa,XC40772,2015-10-30,Australia,"Monarto South, South Australia",-35.1707,139.1133,110,,,100,C,A,acanthizidae,Oscines,basal Oscines 9
acanthiza ewingii,XC204413,2014-11-21,Australia,"Meander, Tasmania",-41.7043,146.5794,460,,,43,C,A,acanthizidae,Oscines,basal Oscines 9
acanthiza ewingii,XC370628,2017-04-10,Australia,"Latrobe, Latrobe Council, Tasmania",-41.2619,146.4173,20,15,5,12,B,B,acanthizidae,Oscines,basal Oscines 9
acanthiza ewingii,XC98491,2012-01-05,Australia,"Derwent Bridge, Walls of Jerusalem NP Tas",-42.1348,146.2298,,50,9,155,A,A,acanthizidae,Oscines,basal Oscines 9
acanthiza inornata,XC382789,2017-07-25,Australia,"Congelin Dam, Dryandra Woodland, Western Australia",-32.8166,116.8865,280,30,12,29,B,A,acanthizidae,Oscines,basal Oscines 9
acanthiza inornata,XC383181,2017-07-31,Australia,"Tomingley Rd, Dryandra Woodland, Western Australia",-32.7889,116.9448,340,,,39,C,A,acanthizidae,Oscines,basal Oscines 9
acanthiza inornata,XC40640,2009-10-22,Australia,"Stirling Range NP, WA",-34.399828,117.978058,230,50,25,36,A,B,acanthizidae,Oscines,basal Oscines 9
acanthiza iredalei,XC40757,2009-10-30,Australia,"Port Gawler, SA",-34.632996,138.496571,5,50,10,78,B,A,acanthizidae,Oscines,basal Oscines 9
acanthiza katherina,XC353457,2017-01-23,Australia,"Evelyn, Tablelands Regional, Queensland",-17.4657,145.4891,1200,39,29,10,B,A,acanthizidae,Oscines,basal Oscines 9
acanthiza katherina,XC98290,2011-12-23,Australia,"Mt Lewis, Atherton Tableland, Qld",-16.5389,145.287,,50,30,33,B,A,acanthizidae,Oscines,basal Oscines 9
acanthiza lineata,XC141386,2012-10-20,Australia,"Budderoo, New South Wales",-34.6357,150.7271,160,,,32,C,B,acanthizidae,Oscines,basal Oscines 9
