model,term,type,estimate,95%CI,N
"Taxonomic, multivariate",Intercept,fixed,0.056,-0.193 - 0.31,4323
"Taxonomic, multivariate",Clade S r O,fixed,-0.874,-1.314 - -0.422,4323
"Taxonomic, multivariate",Sexual size dimorphism,fixed,0.009,-0.018 - 0.037,4323
"Taxonomic, multivariate",Sexual color dimorphism,fixed,-0.006,-0.045 - 0.033,4323
"Taxonomic, multivariate",Male-like coloration,fixed,0.012,-0.028 - 0.052,4323
"Taxonomic, multivariate",Degree of polygyny,fixed,0.01,-0.034 - 0.057,4323
"Taxonomic, multivariate",Social bond,fixed,0.008,-0.035 - 0.052,4323
"Taxonomic, multivariate",Territoriality,fixed,-0.006,-0.049 - 0.036,4323
"Taxonomic, multivariate",Absolute latitude,fixed,0.009,-0.03 - 0.047,4323
"Taxonomic, multivariate",Altitude,fixed,0.022,-0.01 - 0.052,4323
"Taxonomic, multivariate",Habitat generalism,fixed,0.041,0.013 - 0.07,4323
"Taxonomic, multivariate",Tree cover,fixed,-0.073,-0.104 - -0.041,4323
"Taxonomic, multivariate",Migration,fixed,0.051,0.014 - 0.086,4323
"Taxonomic, multivariate",Species richness,fixed,0.031,-0.009 - 0.07,4323
"Taxonomic, multivariate",Sexual size dimorphism S r O,fixed,-0.037,-0.095 - 0.022,4323
"Taxonomic, multivariate",Sexual color dimorphism S r O,fixed,0.032,-0.066 - 0.126,4323
"Taxonomic, multivariate",Male-like coloration S r O,fixed,-0.045,-0.139 - 0.051,4323
"Taxonomic, multivariate",Degree of polygyny S r O,fixed,-0.038,-0.132 - 0.056,4323
"Taxonomic, multivariate",Social bond S r O,fixed,-0.004,-0.101 - 0.1,4323
"Taxonomic, multivariate",Territoriality S r O,fixed,-0.076,-0.174 - 0.018,4323
"Taxonomic, multivariate",Absolute latitude S r O,fixed,-0.003,-0.096 - 0.087,4323
"Taxonomic, multivariate",Altitude S r O,fixed,-0.028,-0.09 - 0.036,4323
"Taxonomic, multivariate",Habitat generalism S r O,fixed,-0.019,-0.09 - 0.05,4323
"Taxonomic, multivariate",Tree cover S r O,fixed,0.051,-0.019 - 0.122,4323
"Taxonomic, multivariate",Migration S r O,fixed,-0.034,-0.129 - 0.064,4323
"Taxonomic, multivariate",Species richness S r O,fixed,-0.05,-0.124 - 0.023,4323
"Taxonomic, multivariate",genus:family:superfamily:parvorder:infraorder (Intercept),random,26%,25% - 27%,4323
"Taxonomic, multivariate",family:superfamily:parvorder:infraorder (Intercept),random,16%,14% - 18%,4323
"Taxonomic, multivariate",superfamily:parvorder:infraorder (Intercept),random,4%,2% - 5%,4323
"Taxonomic, multivariate",parvorder,random,3%,1% - 5%,4323
"Taxonomic, multivariate",infraorder,random,0%,0% - 0%,4323
"Taxonomic, multivariate",residual variance,random,51%,47% - 55%,4323
"Taxonomic, heteroscedasticity control",Intercept,fixed,0.066,-0.192 - 0.319,4323
"Taxonomic, heteroscedasticity control",Clade S r O,fixed,-0.912,-1.355 - -0.47,4323
"Taxonomic, heteroscedasticity control",Sexual size dimorphism,fixed,0.009,-0.021 - 0.038,4323
"Taxonomic, heteroscedasticity control",Sexual color dimorphism,fixed,-0.005,-0.047 - 0.036,4323
"Taxonomic, heteroscedasticity control",Male-like coloration,fixed,0.01,-0.032 - 0.053,4323
"Taxonomic, heteroscedasticity control",Degree of polygyny,fixed,0.012,-0.037 - 0.061,4323
"Taxonomic, heteroscedasticity control",Social bond,fixed,0.008,-0.038 - 0.054,4323
"Taxonomic, heteroscedasticity control",Territoriality,fixed,-0.005,-0.049 - 0.038,4323
"Taxonomic, heteroscedasticity control",Absolute latitude,fixed,0.009,-0.032 - 0.05,4323
"Taxonomic, heteroscedasticity control",Altitude,fixed,0.021,-0.012 - 0.054,4323
